"S.No,Open,High,Low,Close,Adj Close,Volume"
"123,12500,12620,12340,12400,9619.883789,36920000"
"124,12500,12740,12440,12740,9883.654297,36010000"
"125,12740,12760,12520,12520,9712.982422,28090000"
"126,12520,12580,12300,12360,9588.851563,35100000"
"127,12360,12380,12020,12040,9340.597656,39765000"
"128,11700,11800,11440,11520,8937.181641,60840000"
"129,11200,11420,10980,11140,8642.37793,69125000"
"130,11140,11220,10920,11120,8626.864258,38245000"
"131,11120,11280,11000,11100,8611.347656,47555000"
"132,11100,11100,11100,11100,8611.347656,0"
"133,10960,11000,10520,10560,8192.416992,58090000"
"134,10500,10800,10360,10800,8378.607422,45745000"
"135,10600,10680,9840,10180,7897.615723,50775000"
"136,10180,10320,9980,10020,7773.489258,52660000"
"137,10300,10600,10220,10500,8145.871094,45270000"
"138,10400,10500,10140,10140,7866.583008,38605000"
"139,10220,10320,9710,9830,7626.085449,53855000"
"140,9760,9840,9160,9160,7106.302246,54650000"
"141,9010,9560,8960,9470,7346.797363,54350000"
"142,9580,10120,9570,10000,7757.971191,41465000"
"143,9920,10180,9740,9890,7672.633789,41540000"
"144,9990,10040,9870,10040,7789.002441,22495000"
"145,10280,10300,10120,10220,7928.646973,19995000"
"146,10040,10060,9830,9840,7633.844238,27125000"
"147,9840,9840,9840,9840,7633.844238,0"
"148,10220,10260,10100,10120,7851.068848,28035000"
"149,10320,10400,10200,10400,8068.288086,25515000"
"150,10340,10360,9990,10120,7851.068848,23875000"
"151,10160,10340,10120,10300,7990.708496,15500000"
"152,10200,10220,9980,10040,7789.002441,25795000"
"153,10060,10140,9470,9470,7346.797363,51000000"
"154,9500,9630,9340,9620,7463.168457,33960000"
"155,9840,9940,9770,9920,7695.907227,28310000"
"156,10100,10140,9920,9960,7726.937988,20680000"
"157,10080,10100,9610,9660,7494.202637,28850000"
"158,9500,9580,9300,9360,7261.462402,55930000"
"159,9360,9370,8660,8730,6772.708008,72110000"
"160,8600,8880,8530,8570,6648.580566,46480000"
"161,8600,8770,8420,8770,6803.739258,39720000"
"162,8800,9030,8690,8720,6764.950195,37445000"
"163,8790,8840,8580,8840,6858.046875,36855000"
"164,8700,8880,8560,8710,6757.194824,26215000"
"165,8800,8980,8740,8920,6920.110352,30140000"
"166,8840,8890,8710,8880,6889.078613,21445000"
"167,9000,9080,8870,8980,6966.658203,28555000"
"168,9240,9450,9180,9390,7284.733887,36185000"
"169,9490,9660,9430,9640,7478.683594,30360000"
"170,9600,9600,9290,9360,7261.462402,26850000"
"171,9200,9470,9160,9420,7308.008789,23050000"
"172,9490,9590,9390,9540,7401.10498,25990000"
"173,9520,9550,9290,9300,7214.916016,25615000"
"174,9100,9100,8820,8880,6889.078613,35895000"
"175,8880,8930,8670,8860,6873.561035,27500000"
"176,8730,8930,8730,8820,6842.529785,22855000"
"177,8500,8740,8400,8740,6780.466309,37500000"
"178,8540,8640,8390,8400,6516.695313,55340000"
"179,8360,8510,8350,8480,6578.759277,38780000"
"180,8520,8590,8440,8460,6563.241211,33385000"
"181,8530,8670,8440,8670,6726.160645,25770000"
"182,8590,8650,8330,8360,6485.663086,30450000"
"183,8320,8380,7990,8170,6338.261719,57275000"
"184,8080,8460,7990,8460,6563.241211,48085000"
"185,8300,8550,8280,8530,6617.550293,24125000"
"186,8380,8460,8340,8340,6470.146973,20245000"
"187,8530,8630,8500,8590,6664.09668,23740000"
"188,8350,8370,8270,8350,6477.90625,31100000"
"189,8340,8430,8310,8360,6485.663086,19550000"
"190,8200,8410,8200,8360,6485.663086,16385000"
"191,8280,8420,8200,8400,6516.695313,20840000"
"192,8540,8590,8420,8460,6563.241211,23450000"
"193,8310,8360,8200,8220,6377.053711,17945000"
"194,8330,8390,8280,8340,6470.146973,19500000"
"195,8350,8350,8160,8160,6330.505371,22380000"
"196,8200,8300,8180,8260,6408.084473,14365000"
"197,8110,8260,8060,8260,6408.084473,18795000"
"198,8260,8470,8210,8460,6563.241211,21590000"
"199,8300,8520,8280,8390,6508.9375,17920000"
"200,8160,8380,8160,8380,6501.179688,25340000"
"201,8340,8510,8330,8480,6578.759277,18820000"
"202,8560,8610,8510,8510,6602.032227,18415000"
"203,8460,8620,8430,8620,6687.370605,28485000"
"204,8620,8800,8520,8760,6795.983887,24825000"
"205,8720,8760,8530,8600,6671.855469,18070000"
"206,8700,8720,8510,8510,6602.032227,14355000"
"207,8590,8640,8450,8600,6671.855469,20750000"
"208,8690,8840,8680,8830,6850.290527,27970000"
"209,8790,8790,8670,8680,6733.918457,16310000"
"210,8740,8790,8620,8760,6795.983887,21770000"
"211,8780,8940,8690,8900,6904.595703,20250000"
"212,8920,9060,8860,9020,6997.69043,22865000"
"213,9100,9180,9070,9120,7075.270508,24855000"
"214,9120,9200,9080,9170,7114.059082,20145000"
"215,9170,9250,9110,9160,7106.302246,12080000"
"216,9020,9080,8930,9020,6997.69043,23415000"
"217,9020,9140,8950,9060,7028.722168,18865000"
"218,9040,9120,8960,9040,7013.208008,17605000"
"219,8920,8960,8730,8730,6772.708008,32385000"
"220,8700,8730,8570,8670,6726.160645,23680000"
"221,8680,8740,8640,8680,6733.918457,13220000"
"222,8680,8800,8670,8670,6726.160645,17265000"
"223,8670,8800,8620,8780,6811.499023,32100000"
"224,8840,9190,8760,9150,7098.544922,43785000"
"225,9270,9500,9240,9500,7370.071777,39665000"
"226,9740,9760,9620,9670,7501.960938,40560000"
"227,9550,9700,9540,9560,7416.622559,24865000"
"228,9420,9720,9380,9600,7447.652832,29380000"
"229,9600,9640,9370,9390,7284.733887,34445000"
"230,9370,9530,9340,9380,7276.975098,23480000"
"231,9460,9490,9380,9480,7354.556152,17715000"
"232,9500,9580,9250,9250,7176.125,19635000"
"233,9160,9200,9090,9200,7137.33252,23755000"
"234,9120,9230,9080,9180,7121.816406,17320000"
"235,9180,9180,9180,9180,7121.816406,0"
"236,9180,9180,9180,9180,7121.816406,0"
"237,9180,9180,9180,9180,7121.816406,0"
"238,9060,9180,9060,9160,7106.302246,26600000"
"239,9160,9270,9120,9220,7152.849121,26530000"
"240,9420,9800,9420,9800,7602.811523,31830000"
"241,9860,9860,9680,9760,7571.779785,23165000"
"242,9790,10020,9700,9890,7672.633789,36150000"
"243,9820,9890,9640,9760,7571.779785,18145000"
"244,9660,9750,9490,9530,7393.34375,41800000"
"245,9410,9450,9310,9330,7238.184082,38415000"
"246,9280,9280,8920,8920,6920.110352,53085000"
"247,8940,9020,8930,8980,6966.658203,36390000"
"248,8960,8960,8740,8880,6889.078613,50850000"
"249,8820,8930,8730,8740,6780.466309,64695000"
"250,8640,8720,8560,8650,6710.645508,37125000"
"251,8800,8870,8720,8770,6803.739258,26410000"
"252,8620,8780,8550,8570,6648.580566,24915000"
"253,8570,8720,8550,8580,6656.338379,29165000"
"254,8700,8830,8680,8750,6788.224609,23290000"
"255,8660,8660,8490,8560,6640.823242,31530000"
"256,8590,8670,8580,8600,6671.855469,13740000"
"257,8670,8700,8490,8580,6656.338379,26595000"
"258,8820,8850,8680,8790,6819.257813,22675000"
"259,8760,8800,8650,8790,6819.257813,26760000"
"260,8750,8820,8660,8790,6819.257813,11390000"
"261,8720,8860,8720,8800,6827.013672,16450000"
"262,8840,9100,8820,9100,7059.754395,25215000"
"263,9120,9130,8960,8960,6951.14209,30080000"
"264,9040,9080,8990,9050,7020.963867,32055000"
"265,9170,9170,8800,8800,6827.013672,21140000"
"266,8690,8750,8600,8620,6687.370605,26775000"
"267,8640,8780,8640,8780,6811.499023,18300000"
"268,8780,8860,8710,8740,6780.466309,30540000"
"269,8980,9020,8870,8970,6958.899902,22700000"
"270,9060,9200,9050,9130,7083.027832,19030000"
"271,9180,9200,9100,9110,7067.51123,24750000"
"272,9120,9250,9110,9230,7160.606445,21975000"
"273,9300,9390,9200,9270,7191.641602,29425000"
"274,9200,9320,8990,9080,7044.23584,22255000"
"275,8840,8910,8730,8800,6827.013672,34575000"
"276,8900,8910,8760,8820,6842.529785,23210000"
"277,8760,8840,8680,8790,6819.257813,23150000"
"278,8800,8890,8760,8820,6842.529785,22185000"
"279,8770,8920,8630,8660,6718.402344,26750000"
"280,8580,8620,8470,8520,6609.791016,31270000"
"281,8540,8700,8510,8690,6741.67627,30700000"
"282,8570,8610,8490,8580,6656.338379,21670000"
"283,8720,8760,8540,8570,6648.580566,25995000"
"284,8660,8680,8460,8520,6609.791016,34600000"
"285,8500,8500,8360,8360,6485.663086,19665000"
"286,8290,8370,8210,8220,6377.053711,26775000"
"287,8110,8390,8060,8390,6508.9375,27215000"
"288,8340,8410,8200,8260,6408.084473,40085000"
"289,8220,8240,8090,8120,6299.470703,25880000"
"290,8000,8070,7980,8040,6237.410645,24525000"
"291,8040,8270,8040,8250,6400.32666,27680000"
"292,8360,8570,8360,8570,6648.580566,33480000"
